#SampleID,Soils,CO2,days,Rep 
#q2:types,categorical,categorical,categorical,categorical
Jin01,Vertisol,300,3d,I
Jin02,Vertisol,300,3d,II
Jin03,Vertisol,300,3d,III
Jin04,Vertisol,300,3d,IV
Jin05,Vertisol,500,3d,I
Jin06,Vertisol,500,3d,II
Jin07,Vertisol,500,3d,III
Jin08,Vertisol,500,3d,IV
Jin09,Vertisol,300,14d,I
Jin10,Vertisol,300,14d,II
Jin11,Vertisol,300,14d,III
Jin12,Vertisol,300,14d,IV
Jin13,Vertisol,500,14d,I
Jin14,Vertisol,500,14d,II
Jin15,Vertisol,500,14d,III
Jin16,Vertisol,500,14d,IV
Jin17,Vertisol,300,42d,I
Jin18,Vertisol,300,42d,II
Jin19,Vertisol,300,42d,III
Jin20,Vertisol,300,42d,IV
Jin21,Vertisol,500,42d,I
Jin22,Vertisol,500,42d,II
Jin23,Vertisol,500,42d,III
Jin24,Vertisol,500,42d,IV
Jin25,Chromosol,300,3d,I
Jin26,Chromosol,300,3d,II
Jin27,Chromosol,300,3d,III
Jin28,Chromosol,300,3d,IV
Jin29,Chromosol,500,3d,I
Jin30,Chromosol,500,3d,II
Jin31,Chromosol,500,3d,III
Jin32,Chromosol,500,3d,IV
Jin33,Chromosol,300,14d,I
Jin34,Chromosol,300,14d,II
Jin35,Chromosol,300,14d,III
Jin36,Chromosol,300,14d,IV
Jin37,Chromosol,500,14d,I
Jin38,Chromosol,500,14d,II
Jin39,Chromosol,500,14d,III
Jin40,Chromosol,500,14d,IV
Jin41,Chromosol,300,42d,I
Jin42,Chromosol,300,42d,II
Jin43,Chromosol,300,42d,III
Jin44,Chromosol,300,42d,IV
Jin45,Chromosol,500,42d,I
Jin46,Chromosol,500,42d,II
Jin47,Chromosol,500,42d,III
Jin48,Chromosol,500,42d,IV